family,condition,rows,accuracy,original_accuracy,accuracy_delta_from_original,active_tokens_mean,reconstruction_l1_mean,fixed_count,lost_count,kept_correct_count,kept_wrong_count
object_counting,original,97,0.6288659793814433,0.6288659793814433,0.0,256.0,0.0,0,0,0,0
object_counting,eps_003,97,0.5876288659793815,0.6288659793814433,-0.04123711340206182,246.51159793814432,0.04188088264517947,3,7,54,33
object_counting,eps_005,97,0.5360824742268041,0.6288659793814433,-0.09278350515463918,187.9085051546392,0.04588873106410209,4,13,48,32
object_counting,eps_007,97,0.5051546391752577,0.6288659793814433,-0.12371134020618557,107.875,0.05855509812689204,5,17,44,31
occlusion_permanence,original,125,0.48,0.48,0.0,256.0,0.0,0,0,0,0
occlusion_permanence,eps_003,125,0.44,0.48,-0.03999999999999998,251.018,0.04434535586647689,12,17,43,53
occlusion_permanence,eps_005,125,0.432,0.48,-0.04799999999999999,199.887,0.04787232740409672,14,20,40,51
occlusion_permanence,eps_007,125,0.456,0.48,-0.023999999999999966,117.892,0.06058927574567497,18,21,39,47
recognition_control,original,118,0.8898305084745762,0.8898305084745762,0.0,256.0,0.0,0,0,0,0
recognition_control,eps_003,118,0.7627118644067796,0.8898305084745762,-0.1271186440677966,250.38877118644066,0.04400816650161425,0,15,90,13
recognition_control,eps_005,118,0.7288135593220338,0.8898305084745762,-0.1610169491525424,195.77860169491527,0.04813862032004458,1,20,85,12
recognition_control,eps_007,118,0.6016949152542372,0.8898305084745762,-0.288135593220339,116.73305084745763,0.05996914201226654,0,34,71,13
spatial_relations,original,186,0.6182795698924731,0.6182795698924731,0.0,256.0,0.0,0,0,0,0
spatial_relations,eps_003,186,0.5967741935483871,0.6182795698924731,-0.021505376344086002,247.34677419354838,0.042108210595449815,13,17,98,58
spatial_relations,eps_005,186,0.5376344086021505,0.6182795698924731,-0.08064516129032262,187.6290322580645,0.046494615865090204,12,27,88,59
spatial_relations,eps_007,186,0.521505376344086,0.6182795698924731,-0.09677419354838712,107.39650537634408,0.059272032704264406,18,36,79,53
temporal_event,original,138,0.5507246376811594,0.5507246376811594,0.0,256.0,0.0,0,0,0,0
temporal_event,eps_003,138,0.5507246376811594,0.5507246376811594,0.0,247.09148550724638,0.04269389702560569,10,10,66,52
temporal_event,eps_005,138,0.5362318840579711,0.5507246376811594,-0.01449275362318836,186.37409420289856,0.046957014140376035,10,12,64,52
temporal_event,eps_007,138,0.5652173913043478,0.5507246376811594,0.01449275362318836,107.36865942028986,0.059750125432164285,15,13,63,47
