tag,condition,rows,accuracy,original_accuracy,accuracy_delta_from_original,active_tokens_mean,reconstruction_l1_mean,fixed_count,lost_count,kept_correct_count,kept_wrong_count
spatial relations,original,210,0.5238095238095238,0.5238095238095238,0.0,256.0,0.0,0,0,0,0
spatial relations,eps_003,210,0.5,0.5238095238095238,-0.023809523809523836,246.62142857142857,0.04183040428407756,15,20,90,85
spatial relations,eps_005,210,0.44285714285714284,0.5238095238095238,-0.080952380952381,185.51964285714286,0.04627045779488981,14,31,79,86
spatial relations,eps_007,210,0.44761904761904764,0.5238095238095238,-0.0761904761904762,106.07619047619048,0.05918325883380714,20,36,74,80
motion,original,172,0.5232558139534884,0.5232558139534884,0.0,256.0,0.0,0,0,0,0
motion,eps_003,172,0.5406976744186046,0.5232558139534884,0.0174418604651162,250.2013081395349,0.04260121784335392,18,15,75,64
motion,eps_005,172,0.5232558139534884,0.5232558139534884,0.0,191.46511627906978,0.04672585675752787,20,20,70,62
motion,eps_007,172,0.5813953488372093,0.5232558139534884,0.05813953488372092,109.66497093023256,0.05985818203094653,29,19,71,53
object recognition,original,101,0.7326732673267327,0.7326732673267327,0.0,256.0,0.0,0,0,0,0
object recognition,eps_003,101,0.5841584158415841,0.7326732673267327,-0.14851485148514854,246.33663366336634,0.04406285832179618,5,20,54,22
object recognition,eps_005,101,0.5445544554455446,0.7326732673267327,-0.18811881188118806,190.39851485148515,0.04777644268043413,5,24,50,22
object recognition,eps_007,101,0.5445544554455446,0.7326732673267327,-0.18811881188118806,111.98267326732673,0.05907948789103787,6,25,49,21
place recognition,original,88,0.9090909090909091,0.9090909090909091,0.0,256.0,0.0,0,0,0,0
place recognition,eps_003,88,0.8181818181818182,0.9090909090909091,-0.09090909090909083,251.8650568181818,0.045240717992948536,0,8,72,8
place recognition,eps_005,88,0.8181818181818182,0.9090909090909091,-0.09090909090909083,203.84375,0.048281042915980586,1,9,71,7
place recognition,eps_007,88,0.6590909090909091,0.9090909090909091,-0.25,121.84375,0.06021254139539616,0,22,58,8
solidity,original,68,0.39705882352941174,0.39705882352941174,0.0,256.0,0.0,0,0,0,0
solidity,eps_003,68,0.39705882352941174,0.39705882352941174,0.0,249.94485294117646,0.0419297273072195,9,9,18,32
solidity,eps_005,68,0.36764705882352944,0.39705882352941174,-0.029411764705882304,193.39889705882354,0.046329955313601255,11,13,14,30
solidity,eps_007,68,0.4264705882352941,0.39705882352941174,0.02941176470588236,110.40257352941177,0.06018653539392878,15,13,14,26
sequencing,original,80,0.6625,0.6625,0.0,256.0,0.0,0,0,0,0
sequencing,eps_003,80,0.625,0.6625,-0.03749999999999998,244.075,0.0430248164528166,6,9,44,21
sequencing,eps_005,80,0.6,0.6625,-0.0625,178.996875,0.048073828645283354,4,9,44,23
sequencing,eps_007,80,0.6125,0.6625,-0.04999999999999993,105.3171875,0.06018529680732172,8,12,41,19
occlusion,original,65,0.38461538461538464,0.38461538461538464,0.0,256.0,0.0,0,0,0,0
occlusion,eps_003,65,0.4307692307692308,0.38461538461538464,0.046153846153846156,250.18846153846152,0.041820037049742846,9,6,19,31
occlusion,eps_005,65,0.38461538461538464,0.38461538461538464,0.0,193.34423076923076,0.04629082869236859,10,10,15,30
occlusion,eps_007,65,0.4461538461538462,0.38461538461538464,0.06153846153846154,110.04615384615384,0.060458986633099045,14,10,15,26
object permanence,original,65,0.38461538461538464,0.38461538461538464,0.0,256.0,0.0,0,0,0,0
object permanence,eps_003,65,0.4307692307692308,0.38461538461538464,0.046153846153846156,250.18846153846152,0.041820037049742846,9,6,19,31
object permanence,eps_005,65,0.38461538461538464,0.38461538461538464,0.0,193.34423076923076,0.04629082869236859,10,10,15,30
object permanence,eps_007,65,0.4461538461538462,0.38461538461538464,0.06153846153846154,110.04615384615384,0.060458986633099045,14,10,15,26
