epsilon_tag,video_id,question_count,family_count,families,tag_count,original_accuracy,karl_accuracy,accuracy_delta,fixed_count,lost_count,kept_correct_count,kept_wrong_count,mixed_delta,any_changed
eps_007,video_11516,11,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.7272727272727273,0.6363636363636364,-0.09090909090909094,2,3,5,1,1,1
eps_007,video_76,6,4,object_counting;occlusion_permanence;recognition_control;spatial_relations,8,0.6666666666666666,0.5,-0.16666666666666663,2,3,1,0,1,1
eps_005,video_4664,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.42857142857142855,0.0,2,2,1,2,1,1
eps_005,video_4839,10,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.8,0.6,-0.20000000000000007,1,3,5,1,1,1
eps_007,video_4839,10,4,object_counting;recognition_control;spatial_relations;temporal_event,7,0.8,0.6,-0.20000000000000007,1,3,5,1,1,1
eps_003,video_2528,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.7142857142857143,0.28571428571428575,3,1,2,1,1,1
eps_005,video_2528,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.7142857142857143,0.28571428571428575,3,1,2,1,1,1
eps_007,video_2528,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.7142857142857143,0.28571428571428575,3,1,2,1,1,1
eps_003,video_4664,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.42857142857142855,0.5714285714285714,0.14285714285714285,2,1,2,2,1,1
eps_005,video_132,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.2857142857142857,0.42857142857142855,0.14285714285714285,2,1,1,3,1,1
eps_005,video_304,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.5714285714285714,0.7142857142857143,0.1428571428571429,2,1,3,1,1,1
eps_007,video_11439,7,5,object_counting;occlusion_permanence;recognition_control;spatial_relations;temporal_event,8,0.7142857142857143,0.5714285714285714,-0.1428571428571429,1,2,3,1,1,1
